Time (msec),Boost Error* (psi),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Final Fueling Base (2-byte)* (lambda),Fine Learning Knock Correction (degrees),IAM (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%)
11147,4.23,0.41,1494,0.00,0.99,0.00,1.0000,21.00,45,0,0,0,0,10.05,0.00,-5.26,7.45
11147,4.22,0.31,1501,0.00,0.99,0.00,1.0000,21.00,45,0,0,0,0,10.36,0.00,-5.28,7.45
11147,4.20,0.40,1516,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,10.15,0.00,-5.28,7.45
11147,4.20,0.39,1512,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,9.89,0.00,-5.28,7.45
11156,4.20,0.39,1506,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,9.84,0.00,-5.28,7.45
11156,4.16,0.39,1502,0.00,0.98,0.00,1.0000,20.00,45,0,0,0,0,9.74,0.00,-5.26,7.45
11156,4.17,0.42,1494,0.00,0.98,0.00,1.0000,21.00,45,0,0,0,0,10.47,0.00,-5.26,7.45
11156,4.19,0.41,1496,0.00,0.98,0.00,1.0000,21.00,45,0,0,0,0,10.20,0.00,-5.26,7.45
11156,4.20,0.41,1502,0.00,0.99,0.00,1.0000,20.50,45,0,0,0,0,10.20,0.00,-5.26,7.45
11156,4.17,0.40,1499,0.00,0.98,0.00,1.0000,20.50,45,0,0,0,0,10.00,0.00,-5.26,7.45
11156,4.18,0.41,1496,0.00,0.98,0.00,1.0000,20.00,45,0,0,0,0,10.10,0.00,-5.26,7.45
11156,4.17,0.40,1494,0.00,0.98,0.00,1.0000,20.00,45,0,0,0,0,10.00,0.00,-5.26,7.45
11156,4.19,0.31,1488,0.00,0.99,0.00,1.0000,21.00,45,0,0,0,0,10.25,0.00,-5.26,7.45
11156,4.19,0.41,1486,0.00,0.99,0.00,1.0000,21.00,45,0,0,0,0,10.05,0.00,-5.26,7.45
11156,4.20,0.40,1482,0.00,0.99,0.00,1.0000,21.50,45,0,0,0,0,10.05,0.00,-5.28,7.45
11872,4.18,0.41,1508,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,10.20,0.00,-5.28,7.45
11872,4.19,0.40,1500,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,10.00,0.00,-5.26,7.45
11872,4.20,0.41,1498,0.00,0.99,0.00,1.0000,21.00,45,0,0,0,0,10.15,0.00,-5.28,7.45
11872,4.18,0.41,1502,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,10.10,0.00,-5.26,7.45
11872,4.19,0.40,1497,0.00,0.98,0.00,1.0000,20.50,45,0,0,0,0,10.00,0.00,-5.26,7.45
11872,4.21,0.40,1507,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,9.89,0.00,-5.26,7.45
11872,4.20,0.41,1504,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,10.20,0.00,-5.28,7.45
11872,4.17,0.41,1505,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,10.15,0.00,-5.26,7.45
11872,4.19,0.40,1499,0.00,0.99,0.00,1.0000,20.50,45,0,0,0,0,9.84,0.00,-5.26,7.45
11872,4.19,0.40,1498,0.00,0.98,0.00,1.0000,21.00,45,0,0,0,0,9.84,0.00,-5.26,7.45
11872,4.19,0.41,1498,0.00,0.98,0.00,1.0000,20.50,45,0,0,0,0,10.10,0.00,-5.26,7.45
11897,4.21,0.40,1495,0.00,0.98,0.00,1.0000,20.50,45,0,0,0,0,10.05,0.00,-5.26,7.45
12006,4.19,0.39,1508,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,9.74,0.00,-5.26,7.45
12235,4.21,0.40,1504,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,10.10,0.00,-5.28,7.45
12355,4.20,0.40,1503,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,10.00,0.00,-5.26,7.45
12475,4.21,0.40,1509,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,9.94,0.00,-5.28,7.45
13351,4.21,0.41,1503,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,10.20,0.00,-5.26,7.45
13522,4.21,0.42,1497,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,10.41,0.00,-5.26,7.45
13522,4.21,0.39,1504,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,9.84,0.00,-5.28,7.45
13522,4.20,0.40,1506,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,9.94,0.00,-5.28,7.45
13522,4.21,0.40,1512,0.00,0.99,0.00,1.0000,18.50,45,0,0,0,0,10.00,0.00,-5.28,7.45
13522,4.19,0.39,1512,0.00,0.99,0.00,1.0000,18.50,45,0,0,0,0,9.79,0.00,-5.28,7.45
13522,4.20,0.39,1512,0.00,0.98,0.00,1.0000,18.50,45,0,0,0,0,9.79,0.00,-5.28,7.45
13522,4.17,0.40,1505,0.00,0.98,0.00,1.0000,19.00,45,0,0,0,0,10.00,0.00,-5.24,7.45
13522,4.17,0.31,1495,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,10.25,0.00,-5.26,7.45
13522,4.17,0.41,1496,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,10.05,0.00,-5.24,7.45
13545,4.24,0.40,1493,0.00,0.99,0.00,1.0000,20.50,45,0,0,0,0,9.94,0.00,-5.26,7.45
13545,4.19,0.41,1497,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,10.05,0.00,-5.26,7.45
13545,4.22,0.38,1496,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,9.48,0.00,-5.28,7.45
13545,4.20,0.40,1510,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,9.94,0.00,-5.26,7.45
13545,4.22,0.39,1504,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,9.84,0.00,-5.28,7.45
13545,4.20,0.39,1506,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,9.64,0.00,-5.26,7.45
13545,4.21,0.40,1504,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,10.05,0.00,-5.28,7.45
14481,4.22,0.41,1496,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,10.10,0.00,-5.26,7.45
15048,4.19,0.41,1497,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,10.15,0.00,-5.26,7.45
15048,4.18,0.39,1506,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,9.74,0.00,-5.26,7.45
15048,4.19,0.40,1504,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,10.00,0.00,-5.26,7.45
15710,4.23,0.40,1491,0.00,0.99,0.00,1.0000,20.50,45,0,0,0,0,10.05,0.00,-5.26,7.45
15710,4.22,0.40,1502,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,10.00,0.00,-5.26,7.45
15710,4.24,0.41,1496,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,10.10,0.00,-5.26,7.45
15710,4.21,0.39,1504,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,9.69,0.00,-5.24,7.45
15710,4.22,0.38,1504,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,9.59,0.00,-5.26,7.45
15726,4.21,0.39,1506,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,9.89,0.00,-5.26,7.45
15726,4.22,0.39,1504,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,9.84,0.00,-5.28,7.45
15726,4.18,0.40,1509,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,10.10,0.00,-5.28,7.45
15726,4.21,0.40,1504,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,10.05,0.00,-5.28,7.45
15726,4.22,0.40,1509,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,10.00,0.00,-5.28,7.45
15726,4.20,0.39,1509,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,9.89,0.00,-5.26,7.45
15726,4.22,0.39,1505,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,9.79,0.00,-5.28,7.45
15726,4.21,0.39,1506,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,9.74,0.00,-5.28,7.45
15726,4.21,0.39,1506,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,9.74,0.00,-5.30,7.45
15726,4.20,0.39,1502,0.00,0.99,0.00,1.0000,18.50,45,0,0,0,0,9.94,0.00,-5.28,7.45
15726,4.22,0.40,1512,0.00,0.99,0.00,1.0000,18.50,45,0,0,0,0,10.00,0.00,-5.30,7.45
15726,4.20,0.40,1515,0.00,0.99,0.00,1.0000,18.50,45,0,0,0,0,10.15,0.00,-5.28,7.45
15726,4.20,0.40,1514,0.00,0.99,0.00,1.0000,18.50,45,0,0,0,0,10.15,0.00,-5.30,7.45
15745,4.19,0.50,1517,0.00,0.99,0.00,1.0000,18.50,45,0,0,0,0,10.05,0.00,-5.28,7.45
