Time (msec),Engine Speed (rpm),Engine Load (Calculated) (g/rev),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (degrees),IAM (multiplier),Mass Airflow (g/s),Final Fueling Base (2-byte)* (lambda),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%),Boost Error* (psi)
17063,642,0.44,17.00,48,5,4,3,7,0.00,0.00,1.0000,4.72,0.94,0.00,-4.27,3.92,4.26
17154,654,0.43,17.00,48,5,4,3,7,0.00,0.00,1.0000,4.72,0.94,0.00,-4.27,3.92,4.19
17238,662,0.42,17.00,48,5,4,3,7,0.00,0.00,1.0000,4.72,0.94,0.00,-4.27,3.92,4.14
17279,693,0.41,17.00,48,5,4,3,7,0.00,0.00,1.0000,4.78,0.94,0.00,-4.27,3.92,4.07
17388,722,0.39,17.00,48,5,4,3,7,0.00,0.00,1.0000,4.78,0.94,0.00,-4.27,3.92,4.09
17482,770,0.37,17.00,48,5,4,3,7,0.00,0.00,1.0000,4.80,0.94,0.00,-4.27,3.92,4.18
17513,813,0.34,17.00,48,5,4,3,7,0.00,0.00,1.0000,4.80,0.94,0.00,-4.27,3.92,4.22
17559,882,0.33,17.00,48,5,4,3,7,0.00,0.00,1.0000,4.71,0.96,0.00,-4.31,3.92,4.36
17701,920,0.30,17.00,48,5,4,3,7,0.00,0.00,1.0000,4.74,1.09,0.00,-4.52,3.53,4.47
17795,966,0.27,17.00,48,5,4,3,7,0.00,0.00,1.0000,3.92,1.12,0.00,-4.60,2.35,4.66
17809,991,0.21,17.00,48,5,4,3,7,0.00,0.00,1.0000,3.40,1.25,0.00,-4.66,2.35,5.00
17950,1001,0.20,17.00,48,5,4,3,7,0.00,0.00,1.0000,3.26,1.19,0.00,-4.72,2.75,5.28
18028,989,0.21,17.00,48,5,4,3,7,0.00,0.00,1.0000,3.55,0.98,0.00,-4.70,3.92,5.85
18076,933,0.28,17.00,48,5,4,3,7,0.00,0.00,1.0000,4.21,0.98,0.00,-4.62,3.14,5.89
18185,913,0.26,17.00,48,5,4,3,7,0.00,0.00,1.0000,3.92,0.98,0.00,-4.52,2.75,5.92
18280,878,0.25,17.00,48,5,4,3,7,0.00,0.00,1.0000,3.59,0.98,0.00,-4.49,2.75,5.95
18328,857,0.25,17.00,48,5,4,3,7,0.00,0.00,1.0000,3.52,0.98,0.00,-4.43,2.75,6.05
18435,836,0.26,17.00,48,5,4,3,7,0.00,0.00,1.0000,3.64,0.98,0.00,-4.39,2.75,6.08
18497,814,0.27,17.00,48,5,4,3,7,0.00,0.00,1.0000,3.65,0.97,0.00,-4.33,2.75,6.09
18545,783,0.30,17.00,48,5,4,3,7,0.00,0.00,1.0000,3.82,0.97,0.00,-4.27,3.14,6.06
18654,751,0.31,17.00,48,5,4,3,7,0.00,0.00,1.0000,3.77,0.97,0.00,-4.25,3.14,5.94
18749,718,0.33,21.50,48,5,4,3,7,0.00,0.00,1.0000,3.84,0.96,0.00,-4.25,3.14,5.80
18825,688,0.34,22.00,50,5,4,3,7,0.00,0.00,1.0000,3.84,0.96,0.00,-4.25,3.14,5.73
18904,672,0.36,22.50,50,5,4,3,7,0.00,0.00,1.0000,4.02,0.88,0.00,-4.25,3.14,5.52
