Time (msec),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (degrees),Fuel Pump Duty (%),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Boost Error* (psi),Feedback Knock Correction (1-byte)** (degrees),IAM (multiplier),Ignition Total Timing (degrees),Throttle Plate Opening Angle (2-byte)** (%),Final Fueling Base (2-byte)* (lambda),Throttle Opening Angle (%)
108000,0.18,4232,0.00,0.00,33.33,0.00,37,0,0,0,7,12.63,0.00,-5.51,4.86,0.00,1.0000,24.00,8.74,0.81,9.02
108090,0.18,4072,0.00,0.00,33.33,0.00,37,0,0,0,7,12.82,0.00,-5.51,4.88,0.00,1.0000,24.00,8.59,0.81,9.02
108286,0.18,4072,0.00,0.00,33.33,0.00,37,0,0,0,7,12.00,0.00,-5.45,4.91,0.00,1.0000,24.00,8.45,0.81,9.02
108311,0.18,4036,0.00,0.00,33.33,0.00,37,0,0,0,7,12.18,0.00,-5.43,4.98,0.00,1.0000,24.00,8.45,0.81,9.02
108371,0.19,3983,0.00,0.00,33.33,0.00,37,0,0,0,7,12.37,0.00,-5.43,4.94,0.00,1.0000,24.00,8.30,0.81,8.63
108519,0.19,3918,0.00,0.00,33.33,0.00,37,0,0,0,7,12.31,0.00,-5.41,4.95,0.00,1.0000,24.00,8.30,0.81,8.63
108668,0.19,3879,0.00,0.00,33.33,0.00,37,0,0,0,7,11.94,0.00,-5.41,4.95,0.00,1.0000,24.00,8.30,0.81,8.63
108704,0.19,3848,0.00,0.00,33.33,0.00,37,0,0,0,7,11.50,0.00,-5.41,4.95,0.00,1.0000,24.00,8.01,0.81,8.24
108841,0.18,3823,0.00,0.00,33.33,0.00,37,0,0,0,7,11.50,0.00,-5.41,5.02,0.00,1.0000,24.00,8.01,0.81,8.24
108877,0.18,3778,0.00,0.00,33.33,0.00,37,0,0,0,7,11.94,0.00,-5.41,5.02,0.00,1.0000,24.00,8.01,0.81,8.24
109043,0.18,3706,0.00,0.00,33.33,0.00,37,0,0,0,7,11.87,0.00,-5.41,5.04,0.00,1.0000,24.00,8.01,0.81,8.24
109078,0.20,3653,0.00,0.00,33.33,0.00,37,0,0,0,7,11.87,0.00,-5.41,5.04,0.00,1.0000,24.00,8.01,0.81,8.24
109231,0.19,3639,0.00,0.00,33.33,0.00,37,0,0,0,7,11.94,0.00,-5.41,5.04,0.00,1.0000,24.00,8.01,0.82,8.24
109265,0.19,3574,0.00,0.00,33.33,0.00,37,0,0,0,7,11.75,0.00,-5.41,5.07,0.00,1.0000,24.00,7.72,0.82,8.24
109385,0.19,3469,0.00,0.00,33.33,0.00,37,0,0,0,7,10.82,0.00,-5.39,5.19,0.00,1.0000,24.00,7.57,0.83,7.84
109385,0.20,3538,0.00,0.00,33.33,0.00,37,0,0,0,7,11.56,0.00,-5.41,5.10,0.00,1.0000,24.00,7.72,0.83,8.24
109511,0.18,3428,0.00,0.00,33.33,0.00,37,0,0,0,7,11.07,0.00,-5.38,5.25,0.00,1.0000,24.00,7.43,0.83,7.84
109656,0.19,3397,0.00,0.00,33.33,0.00,37,0,0,0,7,10.82,0.00,-5.36,5.31,0.00,1.0000,24.00,7.43,0.83,7.84
109716,0.19,3334,0.00,0.00,33.33,0.00,37,0,0,0,7,10.36,0.00,-5.34,5.30,0.00,1.0000,24.00,7.28,0.83,7.84
109855,0.18,3291,0.00,0.00,33.33,0.00,37,0,0,0,7,10.10,0.00,-5.30,5.37,0.00,1.0000,24.00,7.14,0.83,7.45
109921,0.18,3236,0.00,0.00,33.33,0.00,37,0,0,0,7,10.10,0.00,-5.28,5.38,0.00,1.0000,24.00,7.14,0.83,7.45
110028,0.18,3178,0.00,0.00,33.33,0.00,37,0,0,0,7,9.94,0.00,-5.24,5.33,0.00,1.0000,24.00,7.14,0.83,7.45
110089,0.20,3090,0.00,0.00,33.33,0.00,37,0,0,0,7,9.69,0.00,-5.24,5.30,0.00,1.0000,24.00,6.99,0.83,7.45
110199,0.19,3041,0.00,0.00,33.33,0.00,37,0,0,0,7,9.48,0.00,-5.30,5.22,0.00,1.0000,24.00,6.85,0.83,7.06
110234,0.19,2978,0.00,0.00,33.33,0.00,37,0,0,0,7,9.33,0.00,-5.32,5.15,0.00,1.0000,24.00,6.56,0.83,7.06
110390,0.19,2929,0.00,0.00,33.33,0.00,37,0,0,0,7,8.83,0.00,-5.36,5.10,0.00,1.0000,24.00,6.56,0.83,7.06
110407,0.18,2842,0.00,0.00,33.33,0.00,37,0,0,0,7,8.61,0.00,-5.45,5.03,0.00,1.0000,24.00,6.41,0.83,6.67
110578,0.19,2744,0.00,0.00,33.33,0.00,37,0,0,0,7,7.98,0.00,-5.45,4.97,0.00,1.0000,24.00,6.27,0.83,6.67
110639,0.18,2640,0.00,0.00,33.33,0.00,37,0,0,0,7,8.23,0.00,-5.59,4.96,0.00,1.0000,24.00,5.98,0.83,6.27
110831,0.19,2539,0.00,0.00,33.33,0.00,37,0,0,0,7,7.85,0.00,-5.61,4.92,0.00,1.0000,24.00,5.83,0.83,6.27
110831,0.19,2500,0.00,0.00,33.33,0.00,37,0,0,0,7,8.23,0.00,-5.69,4.93,0.00,1.0000,24.00,5.83,0.83,6.27
110857,0.19,2403,0.00,0.00,33.33,0.00,37,0,0,0,7,7.51,0.00,-5.70,4.92,0.00,1.0000,24.00,5.54,0.83,5.88
111028,0.20,2266,0.00,0.00,33.33,0.00,37,0,0,0,7,7.89,0.00,-5.72,4.93,0.00,1.0000,24.00,5.54,0.83,5.88
111028,0.20,2151,0.00,0.00,33.33,0.00,37,0,0,0,7,7.63,0.00,-5.74,5.06,0.00,1.0000,24.00,4.96,0.83,5.49
111220,0.21,2045,0.00,0.00,33.33,0.00,37,0,0,0,7,7.06,0.00,-5.70,5.12,0.00,1.0000,24.00,4.96,0.83,5.10
111235,0.21,1940,0.00,0.00,33.33,0.00,37,0,0,0,7,6.83,0.00,-5.63,5.14,0.00,1.0000,24.00,4.67,0.83,5.10
111386,0.21,1816,0.00,0.00,33.33,0.00,37,0,0,0,7,6.24,0.00,-5.59,5.09,0.00,1.0000,24.00,4.52,0.83,4.71
111421,0.21,1697,0.00,0.00,33.33,0.00,37,0,0,0,7,6.11,0.00,-5.70,4.99,0.00,1.0000,22.50,4.23,0.83,4.31
111498,0.22,1592,0.00,0.00,33.33,0.00,37,0,0,0,7,6.14,0.00,-5.76,4.89,0.00,1.0000,20.00,4.09,0.83,4.31
111672,0.23,1460,0.00,0.00,33.33,0.00,37,0,0,0,7,5.49,0.00,-5.90,4.96,0.00,1.0000,19.00,3.94,0.83,4.31
111782,0.23,1354,0.00,0.00,33.33,0.00,37,0,0,0,7,5.49,0.00,-5.88,5.20,0.00,1.0000,18.00,3.80,0.83,3.92
111811,0.25,1242,0.00,0.00,33.33,0.00,39,0,0,0,7,5.72,0.00,-5.80,5.23,0.00,1.0000,17.50,3.94,0.83,4.31
111956,0.28,1159,0.00,0.00,33.33,0.00,39,0,0,0,7,6.04,0.00,-5.57,5.22,0.00,1.0000,17.00,4.52,0.83,4.71
112030,0.35,1024,0.00,0.00,33.33,0.00,39,0,0,0,7,6.53,0.00,-5.45,5.20,0.00,1.0000,17.00,4.67,0.83,5.10
112156,0.40,950,0.00,0.00,33.33,2.30,39,0,0,0,7,6.57,0.00,-5.14,5.06,0.00,1.0000,17.00,4.67,0.77,5.10
112176,0.44,878,0.00,0.00,33.33,2.23,39,0,0,0,8,6.64,0.00,-4.99,4.90,0.00,1.0000,21.00,4.96,0.76,5.10
112327,0.42,1018,0.00,0.00,33.33,2.48,39,0,0,0,8,5.49,0.00,-4.62,4.43,0.00,1.0000,21.00,4.09,0.74,4.31
112340,0.30,1125,0.00,0.00,33.33,2.29,39,0,0,0,8,4.99,0.00,-4.76,3.75,0.00,1.0000,18.00,3.51,0.82,3.53
112517,0.26,1164,0.00,0.00,33.33,2.22,39,0,0,0,8,4.74,0.00,-5.55,3.98,0.00,1.0000,12.00,3.51,0.93,3.53
112542,0.23,1190,0.00,0.00,33.33,2.27,39,0,0,0,8,4.36,0.00,-5.80,4.38,0.00,1.0000,10.00,2.92,0.92,3.14
112707,0.21,1196,0.00,0.00,33.33,2.03,39,0,0,0,8,3.87,0.00,-5.86,4.57,0.00,1.0000,12.00,2.63,0.92,2.75
112729,0.20,1177,0.00,0.00,33.33,2.01,39,0,0,0,8,3.87,0.00,-5.94,5.04,0.00,1.0000,13.50,2.63,0.83,2.75
112871,0.20,1131,0.00,0.00,33.33,1.95,39,0,0,0,8,3.89,0.00,-5.86,5.18,0.00,1.0000,17.00,2.78,0.84,3.14
112871,0.20,1151,0.00,0.00,33.33,1.98,39,0,0,0,8,3.82,0.00,-5.90,5.19,0.00,1.0000,16.50,2.63,0.84,2.75
113066,0.21,1110,0.00,0.00,33.33,1.67,39,0,0,0,8,4.18,0.00,-5.82,5.16,0.00,1.0000,18.00,2.92,0.83,3.14
113191,0.22,1088,0.00,0.00,33.33,1.62,39,0,0,0,8,4.20,0.00,-5.76,5.15,0.00,1.0000,19.00,2.92,0.96,3.14
113191,0.23,1060,0.00,0.00,33.33,1.61,39,0,0,0,8,4.12,0.00,-5.74,5.16,0.00,1.0000,19.00,2.92,0.96,3.14
113312,0.24,1031,0.00,0.00,33.33,1.55,39,0,0,0,8,4.34,0.00,-5.69,5.19,0.00,1.0000,19.00,2.92,0.96,3.14
113465,0.26,1000,0.00,0.00,33.33,1.73,39,0,0,0,8,4.15,0.00,-5.63,5.26,0.00,1.0000,19.50,2.92,0.96,3.14
113497,0.30,983,0.00,0.00,33.33,1.68,39,0,0,0,8,7.11,0.00,-5.53,5.23,0.00,1.0000,19.50,7.14,0.96,6.27
113497,0.65,920,0.00,0.00,33.33,3.26,39,0,0,0,8,13.77,0.00,-5.45,2.80,0.00,1.0000,29.00,10.48,0.60,11.76
113703,1.39,1006,0.00,0.00,33.33,5.28,39,0,0,0,8,22.43,0.00,-3.69,0.57,0.00,1.0000,25.50,11.93,0.50,13.33
113716,0.92,1235,0.00,0.00,66.67,5.76,39,0,0,0,8,16.65,0.00,-4.70,-0.32,0.00,1.0000,7.50,11.21,0.79,11.76
113892,0.84,1421,0.00,0.00,66.67,6.71,39,0,0,0,8,22.88,0.00,-5.09,-0.65,0.00,1.0000,7.50,16.88,0.92,15.69
113917,1.04,1630,0.00,0.00,66.67,7.91,39,0,0,0,8,24.64,0.00,-4.62,-1.94,0.00,1.0000,9.00,16.29,0.87,17.25
114015,0.85,1793,0.00,0.00,66.67,8.19,39,0,0,0,8,26.97,0.00,-5.18,-0.05,0.00,1.0000,11.00,19.49,0.96,16.47
114078,1.05,2000,0.00,0.00,66.67,9.87,39,0,0,0,8,33.52,0.00,-5.09,-0.41,0.00,1.0000,25.00,20.94,0.86,21.96
114221,0.97,2193,0.00,0.00,66.67,10.01,39,0,0,0,8,33.97,0.00,-3.23,-1.22,0.00,1.0000,27.00,19.78,0.93,20.78
114269,0.95,2294,0.00,0.00,66.67,10.59,39,0,0,0,8,35.90,0.00,-3.58,-1.42,0.00,1.0000,28.50,19.78,0.96,20.78
114451,0.98,2294,0.00,0.00,66.67,10.82,39,0,0,0,8,37.59,0.00,-4.66,-2.04,0.00,1.0000,26.50,20.36,0.94,21.57
114480,0.99,2299,0.00,0.00,66.67,10.75,39,0,0,0,8,37.34,0.00,-4.72,-1.92,0.00,1.0000,26.50,20.36,0.94,21.18
114624,1.01,2294,0.00,0.00,66.67,10.80,39,0,0,0,8,39.21,0.00,-5.26,-1.94,0.00,1.0000,25.50,20.65,0.95,21.57
114699,1.02,2330,0.00,0.00,66.67,10.83,39,0,0,0,8,38.84,0.00,-4.99,-2.29,0.00,1.0000,25.50,20.65,0.96,21.96
114814,1.01,2343,0.00,0.00,66.67,10.46,39,0,0,0,8,39.21,0.00,-5.01,-2.52,0.00,1.0000,25.50,20.51,0.98,21.57
114824,1.00,2364,0.00,0.00,66.67,10.59,39,0,0,0,8,39.71,0.00,-5.34,-2.92,0.00,1.0000,25.00,20.22,0.98,21.18
115001,0.97,2325,0.00,0.00,66.67,9.97,39,0,0,0,8,37.09,0.00,-5.24,-2.93,0.00,1.0000,26.00,18.62,0.98,19.61
115012,1.01,2256,0.00,0.00,66.67,10.28,39,0,0,0,8,40.21,0.00,-6.01,-3.47,0.00,1.0000,25.00,20.07,0.98,21.57
115171,0.85,2151,0.00,0.00,66.67,7.96,37,0,0,0,8,28.18,0.00,-4.93,-2.68,0.00,1.0000,28.50,14.70,0.94,15.69
115188,1.05,1986,0.00,0.00,66.67,9.16,37,0,0,0,8,38.15,0.00,-6.23,-1.47,0.00,1.0000,25.00,19.49,0.92,20.39
115354,1.03,1980,0.00,0.00,66.67,8.31,37,0,0,0,8,31.09,0.00,-5.12,-3.67,0.00,1.0000,23.50,16.73,0.92,18.04
115371,0.88,2125,0.00,0.00,66.67,8.38,37,0,0,0,8,31.44,0.00,-6.13,-2.09,0.00,1.0000,26.50,17.17,0.98,17.65
115560,1.09,2271,0.00,0.00,66.67,10.47,37,0,0,0,8,42.85,0.00,-4.91,-1.43,0.00,1.0000,25.00,23.12,0.98,22.75
115560,1.14,2350,0.00,0.00,66.67,11.85,37,0,0,0,8,42.74,0.00,-3.33,-2.51,0.00,1.0000,23.00,22.25,0.98,23.92
115719,1.11,2402,0.00,0.00,66.67,12.72,37,0,0,0,8,45.85,0.00,-4.18,-1.65,0.00,1.0000,21.50,23.85,0.98,24.71
115780,1.12,2490,0.00,0.00,66.67,13.75,37,0,0,0,8,46.73,0.00,-3.07,-2.68,0.00,1.0000,20.50,23.56,0.98,25.10
115926,1.10,2560,0.00,0.00,66.67,14.11,37,0,0,0,8,48.01,0.00,-4.10,-0.72,0.00,1.0000,20.50,22.83,0.98,23.92
115965,1.16,2725,0.00,0.00,66.67,15.38,37,0,0,0,8,51.32,0.00,-3.64,1.08,0.00,1.0000,23.00,26.32,0.98,26.27
116121,1.23,2807,0.00,0.00,66.67,16.77,37,0,0,0,8,58.67,0.00,-0.15,0.19,0.00,1.0000,28.00,27.48,0.97,29.02
116136,1.21,2870,0.00,0.00,66.67,16.31,37,0,0,0,8,57.75,0.00,-0.48,0.08,0.00,1.0000,32.00,26.32,0.94,27.45
116324,1.25,2995,0.00,0.00,66.67,17.02,37,0,0,0,8,62.12,0.00,-0.95,0.32,0.00,1.0000,35.50,26.76,0.95,28.24
116376,1.27,3147,0.00,0.00,66.67,17.83,37,0,0,0,8,69.00,0.00,-0.31,0.27,0.00,1.0000,38.00,29.08,0.95,29.41
116516,1.33,3214,0.00,0.00,66.67,19.58,37,0,0,0,8,69.20,0.00,0.02,-0.89,0.00,1.0000,37.50,28.07,0.95,30.20
116516,1.25,3386,0.00,0.00,66.67,19.75,37,0,0,0,8,71.40,0.00,-0.89,-0.75,0.00,1.0000,38.00,26.18,0.96,27.45
116561,1.31,3525,0.00,0.00,66.67,21.54,37,0,0,0,8,77.54,0.00,-1.41,-0.56,0.00,1.0000,36.50,27.48,0.96,28.63
116636,1.42,3656,0.00,0.00,66.67,23.09,37,0,0,0,8,83.89,0.00,-0.87,-1.43,0.00,1.0000,36.00,28.07,0.96,29.41
116746,1.21,3668,0.00,0.00,66.67,21.11,36,0,0,0,8,67.60,0.00,-1.43,-2.24,0.00,1.0000,37.50,21.96,0.98,23.53
116937,1.18,3834,0.00,0.00,66.67,20.85,36,0,0,0,8,79.65,0.00,-4.20,-0.46,0.00,1.0000,39.00,24.43,0.98,25.10
116952,1.16,4023,0.00,0.00,66.67,20.43,36,0,0,0,8,76.41,0.00,-2.40,-0.93,0.00,1.0000,41.00,23.85,0.98,24.71
117107,1.27,4087,0.00,0.00,66.67,21.71,36,0,0,0,8,85.36,0.00,-3.75,-1.60,0.00,1.0000,40.50,25.45,0.98,26.67
117142,1.18,4189,0.00,0.00,66.67,22.02,36,0,0,0,8,77.81,0.00,-3.23,-1.61,0.00,1.0000,40.00,23.41,0.98,24.71
117294,1.13,4318,0.00,0.00,66.67,20.99,36,0,0,0,8,84.27,0.00,-4.43,-0.54,0.00,1.0000,39.50,25.45,0.98,25.49
117309,1.33,4509,0.00,0.00,66.67,26.68,36,0,0,0,8,100.53,0.00,-3.06,-3.22,0.00,1.0000,37.50,27.34,0.96,29.02
117472,1.21,4560,0.00,0.00,66.67,26.48,36,0,0,0,8,85.53,0.00,-2.86,-3.51,0.00,1.0000,39.00,24.29,0.95,26.27
117517,0.89,4481,0.00,0.00,66.67,11.65,36,0,0,0,8,52.49,0.00,-4.47,-1.85,0.00,1.0000,43.00,19.49,1.69,20.39
117577,0.42,4503,0.00,0.00,33.33,12.33,36,0,0,0,8,24.31,0.00,-6.28,2.73,0.00,1.0000,47.50,12.95,0.99,13.73
117699,0.20,4482,0.00,0.00,33.33,0.00,36,0,0,0,8,11.50,0.00,-6.27,4.21,0.00,1.0000,44.00,9.46,1.30,9.80
117861,0.17,4426,0.00,0.00,33.33,0.00,36,0,0,0,8,13.16,0.00,-6.25,5.10,0.00,1.0000,42.00,9.17,1.01,9.80
117888,0.18,4310,0.00,0.00,33.33,0.00,36,0,0,0,8,13.09,0.00,-6.23,5.12,0.00,1.0000,39.50,9.17,0.98,9.80
118030,0.17,4216,0.00,0.00,33.33,0.00,36,0,0,0,8,13.42,0.00,-6.17,5.02,0.00,1.0000,37.50,9.17,0.98,9.80
118048,0.20,3956,0.00,0.00,33.33,6.12,36,0,0,0,8,19.99,0.00,-6.13,4.91,0.00,1.0000,44.00,12.08,0.98,10.20
118214,0.43,3465,0.00,0.00,33.33,8.63,36,0,0,0,8,28.21,0.00,-6.05,3.84,0.00,1.0000,49.50,14.84,0.90,15.69
118297,0.63,2910,0.00,0.00,33.33,10.04,36,0,0,0,8,39.68,0.00,-6.01,2.41,0.00,1.0000,48.50,17.75,0.89,16.86
118422,1.07,2941,0.00,0.00,66.67,18.03,36,0,0,0,8,61.14,0.00,-5.39,4.68,0.00,1.0000,43.00,24.00,0.73,23.92
118436,1.32,3202,0.00,0.00,66.67,23.43,36,0,0,0,8,76.01,0.00,-0.68,4.81,0.00,1.0000,36.00,56.69,0.70,37.25
118598,1.48,3340,0.00,0.00,66.67,21.88,36,0,0,0,8,85.62,0.00,2.57,3.92,0.00,1.0000,31.00,79.80,0.79,80.78
118611,1.69,3240,0.00,0.00,66.67,25.13,36,0,0,0,8,94.49,0.00,4.62,1.73,0.00,1.0000,28.50,56.84,0.94,70.98
118745,1.76,3135,0.00,0.00,66.67,26.63,36,0,0,0,8,92.82,0.00,4.14,0.92,0.00,1.0000,25.00,54.22,0.92,57.25
118780,1.79,3356,0.00,0.00,66.67,28.69,36,0,0,0,8,100.53,0.00,3.69,0.26,0.00,1.0000,24.00,54.37,0.92,57.65
118905,2.06,3348,0.00,0.00,100.00,32.19,36,0,0,0,8,121.96,0.00,3.89,-0.84,0.00,1.0000,19.00,78.64,0.95,78.04
118984,2.20,3432,0.00,0.00,100.00,33.92,34,0,0,0,8,117.51,0.00,4.43,-3.56,0.00,1.0000,17.00,52.19,0.95,54.90
119146,1.96,3542,0.00,0.00,100.00,35.80,34,0,0,0,8,130.31,0.00,2.44,-1.54,0.00,1.0000,17.00,55.39,0.99,39.22
119161,2.34,3610,0.00,0.00,100.00,37.00,34,0,0,0,8,137.85,0.00,2.61,-4.36,0.00,1.0000,15.50,61.63,0.96,69.41
119324,2.02,3674,0.00,0.00,100.00,33.30,34,0,0,0,8,119.43,0.00,3.19,-3.06,0.00,1.0000,18.00,35.62,1.01,38.43
119341,2.13,3825,0.00,0.00,100.00,37.97,34,0,0,0,8,138.28,0.00,1.91,-3.18,0.00,1.0000,19.00,46.67,0.93,46.67
119496,2.09,3840,0.00,0.00,100.00,36.18,34,0,0,0,8,130.28,0.00,3.46,-3.37,0.00,1.0000,20.50,43.03,0.97,43.53
119546,1.93,3988,0.00,0.00,100.00,35.22,34,0,0,0,8,128.66,0.00,2.20,-2.61,0.00,1.0000,21.50,37.51,1.07,37.25
119686,2.14,4039,0.00,0.00,100.00,38.78,34,0,0,0,8,144.71,0.00,2.82,-3.44,0.00,1.0000,19.50,44.34,0.98,46.67
119699,2.00,4159,0.00,0.00,100.00,38.26,34,0,0,0,8,137.41,0.00,2.92,-2.79,0.00,1.0000,20.50,36.49,0.98,38.43
119858,2.12,4241,0.00,0.00,100.00,41.69,34,0,0,0,8,144.06,0.00,1.84,-3.96,0.00,1.0000,21.00,40.56,0.98,42.75
119892,1.98,4317,0.00,0.00,100.00,38.90,34,0,0,0,8,139.86,0.00,1.78,-2.51,0.00,1.0000,23.50,36.49,1.02,37.25
120061,2.00,4404,0.00,0.00,100.00,38.55,34,0,0,0,8,144.06,0.00,1.26,-3.79,0.00,1.0000,23.00,36.64,1.00,39.22
120097,1.93,4455,0.00,0.00,100.00,38.91,32,0,0,0,8,143.40,0.00,1.02,-2.93,0.00,1.0000,23.00,34.60,0.98,36.08
120270,1.90,4572,0.00,0.00,100.00,40.52,32,0,0,0,8,144.06,0.00,0.95,-3.04,0.00,1.0000,24.50,34.17,0.95,36.08
120281,1.88,4622,0.00,0.00,100.00,41.47,32,0,0,0,8,143.40,0.00,0.58,-3.07,0.00,1.0000,25.00,34.02,0.92,35.69
120467,1.85,4720,0.00,0.00,100.00,42.21,32,0,0,0,8,145.36,0.00,0.48,-3.12,0.00,1.0000,26.50,33.59,0.90,35.69
120500,1.79,4788,0.00,0.00,100.00,42.77,32,0,0,0,8,141.45,0.00,-0.19,-3.13,0.00,1.0000,28.50,33.01,0.87,34.51
120500,1.82,4890,0.00,0.00,100.00,43.25,32,0,0,0,8,144.38,0.00,-0.62,-2.96,0.00,1.0000,28.50,33.73,0.86,35.29
120707,1.75,4940,0.00,0.00,100.00,43.17,32,0,0,0,8,142.42,0.00,0.02,-3.08,0.00,1.0000,30.00,33.01,0.86,34.51
120722,1.70,4997,0.00,0.00,100.00,42.23,32,0,0,0,8,141.77,0.00,-1.01,-2.13,0.00,1.0000,30.50,32.72,0.86,34.12
120891,1.71,5109,0.00,0.00,100.00,43.21,32,0,0,0,8,145.36,0.00,-1.04,-2.85,0.00,1.0000,30.50,33.30,0.87,34.90
120905,1.27,5008,0.00,0.00,66.67,24.79,32,0,0,0,8,75.18,0.00,-1.41,-1.18,0.00,1.0000,39.50,26.47,1.15,26.27
121060,0.49,5019,0.00,0.00,66.67,11.82,32,0,0,0,8,23.17,0.00,-5.94,2.61,0.00,1.0000,48.50,11.06,1.58,15.29
121079,0.16,4988,0.00,0.00,33.33,0.00,32,0,0,0,8,13.02,0.00,-5.96,4.68,0.00,1.0000,45.00,9.90,1.26,10.59
121262,0.16,4887,0.00,0.00,33.33,0.00,32,0,0,0,8,13.62,0.00,-5.96,5.44,0.00,1.0000,42.50,9.75,0.99,10.20
121280,0.18,4740,0.00,0.00,33.33,0.00,32,0,0,0,8,14.41,0.00,-5.98,5.45,0.00,1.0000,40.50,9.61,0.95,10.20
121437,0.19,4502,0.00,0.00,33.33,0.00,32,0,0,0,8,15.79,0.00,-6.03,5.20,0.00,1.0000,38.00,9.75,0.95,10.20
121511,0.25,4222,0.00,0.00,33.33,8.31,32,0,0,0,8,29.33,0.00,-5.96,5.04,0.00,1.0000,47.00,14.84,0.97,12.94
121527,0.83,3848,0.00,0.00,66.67,19.43,32,0,0,0,8,65.77,0.00,-5.70,2.79,0.00,1.0000,46.00,25.45,0.67,25.88
121652,1.17,3604,0.00,0.00,66.67,24.97,32,0,0,0,8,85.83,0.00,-2.73,5.88,0.00,1.0000,38.50,35.04,0.74,30.98
121792,1.64,3525,0.00,0.00,66.67,25.13,32,0,0,0,8,101.62,0.00,3.87,4.17,0.00,1.0000,36.00,91.28,0.89,98.82
121827,1.82,3590,0.00,0.00,66.67,30.27,32,0,0,0,8,112.56,0.00,6.19,3.68,0.00,1.0000,26.00,100.58,0.88,100.00
121966,2.04,3604,-1.40,0.00,100.00,35.26,32,0,0,0,9,126.37,0.00,6.36,4.27,-1.41,1.0000,22.00,100.14,0.85,100.00
122000,2.24,3649,-1.40,0.00,100.00,40.39,32,0,0,0,9,143.45,16.47,8.02,2.25,-1.41,1.0000,15.50,100.14,0.81,100.00
122176,2.52,3693,-1.40,0.00,100.00,47.01,32,0,0,0,9,159.66,17.25,8.30,0.72,-1.41,1.0000,14.00,100.14,0.80,100.00
122229,2.71,3733,-1.40,0.00,100.00,50.92,32,0,0,0,9,166.92,12.94,8.43,-1.55,-1.41,1.0000,14.00,100.14,0.79,100.00
122327,2.70,3773,-1.40,0.00,100.00,52.92,32,0,0,0,9,168.78,10.59,8.57,-1.89,-1.41,1.0000,12.50,100.14,0.79,100.00
122362,2.61,3826,-1.40,0.00,100.00,54.47,32,0,0,0,9,166.32,10.20,8.53,-2.26,-1.41,1.0000,13.00,100.14,0.78,100.00
122547,2.53,3851,-1.40,0.00,100.00,54.88,32,0,0,0,9,165.38,6.27,8.64,-2.08,-1.41,1.0000,13.50,100.14,0.77,100.00
122592,2.51,3897,-1.40,0.00,100.00,55.70,32,0,0,0,9,159.91,6.67,7.89,-1.84,-1.41,1.0000,15.00,100.14,0.75,100.00
122718,2.47,3972,-1.40,0.00,100.00,56.31,32,0,0,0,9,161.41,7.84,7.89,-1.16,-1.41,1.0000,15.00,100.14,0.74,100.00
122737,2.43,3975,-1.40,0.00,100.00,55.24,32,0,0,0,9,166.32,9.02,7.97,-1.22,-1.41,1.0000,16.00,100.14,0.74,100.00
122886,2.44,4096,-1.40,0.00,100.00,55.94,32,0,0,0,9,165.27,9.41,7.91,-0.55,-1.41,1.0000,16.00,100.14,0.74,100.00
122920,2.45,4082,-1.05,0.00,100.00,56.43,32,0,0,0,9,168.18,10.59,8.20,-1.19,-1.05,1.0000,17.00,100.14,0.74,100.00
123062,2.45,4158,-1.05,0.00,100.00,58.39,32,0,0,0,9,166.57,7.06,7.85,-1.12,-1.05,1.0000,17.00,100.14,0.74,100.00
123111,2.49,4157,-1.05,0.00,100.00,59.11,32,0,0,0,9,172.71,7.84,7.83,-1.60,-1.05,1.0000,16.00,100.14,0.74,100.00
123261,2.49,4241,-1.05,0.00,100.00,61.36,30,0,0,0,9,174.19,0.00,7.54,-1.87,-1.05,1.0000,16.50,100.14,0.73,100.00
123323,2.50,4262,-1.05,0.00,100.00,61.67,30,0,0,0,9,179.02,0.00,6.65,-2.63,-1.05,1.0000,15.00,100.14,0.73,100.00
123466,2.54,4295,-1.05,0.00,100.00,63.32,30,0,0,0,9,184.22,0.00,6.61,-2.94,-1.05,1.0000,14.50,100.14,0.72,100.00
123526,2.53,4538,-1.05,0.00,100.00,64.19,30,0,0,0,9,184.29,0.00,6.32,-2.19,-1.05,1.0000,13.50,100.14,0.72,100.00
123652,2.59,4316,-1.05,0.00,100.00,65.00,30,0,0,0,9,194.09,0.00,6.86,-4.57,-1.05,1.0000,13.50,100.29,0.71,100.00
123730,2.45,4421,-1.05,0.00,100.00,67.49,30,0,0,0,9,186.47,0.00,4.74,-5.37,-1.05,1.0000,13.00,47.97,0.71,60.78
123827,2.52,4489,-1.05,0.00,100.00,62.53,30,0,0,0,9,174.49,0.00,3.00,-6.13,-1.05,1.0000,15.00,43.76,0.72,49.02
123861,2.28,4473,-1.05,0.00,100.00,59.62,30,0,0,0,9,184.73,0.00,2.15,-5.05,-1.05,1.0000,16.50,42.02,0.76,46.67
124012,2.50,4579,-0.70,0.00,100.00,55.13,30,0,0,0,9,177.45,0.00,3.15,-6.44,-1.05,1.0000,16.00,46.81,0.75,58.04
